               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041558,            0.024589,            0.026633,             0.66635,             0.25397,             0.23491,            0.087578,            0.046956,            0.015633,            0.034751,             0.00024,             0.00024,             0.09784
                   1,            0.041933,            0.024359,            0.025031,             0.64521,              0.2454,             0.21652,             0.08504,             0.04592,            0.015703,             0.03479,          0.00048879,          0.00048879,            0.095589
                   2,            0.042169,            0.023058,            0.024227,             0.65563,             0.27381,             0.23313,            0.096106,            0.045075,             0.01567,            0.034719,          0.00073272,          0.00073272,            0.093333
                   3,            0.041492,            0.022585,            0.026061,             0.66241,             0.21825,             0.21787,            0.093659,            0.045477,            0.015552,            0.034625,           0.0009682,           0.0009682,            0.091068
                   4,            0.042141,             0.02389,            0.025249,             0.65562,             0.27381,              0.2275,             0.09498,            0.046304,            0.015281,            0.034343,           0.0011918,           0.0011918,            0.088792
                   5,            0.043225,              0.0239,            0.025625,             0.69376,             0.25397,             0.25636,            0.089862,            0.045743,             0.01519,            0.034284,           0.0014002,           0.0014002,              0.0865
                   6,             0.03923,            0.022633,            0.025379,             0.70505,             0.25397,             0.27134,              0.1034,             0.04739,            0.014929,            0.034121,           0.0015905,           0.0015905,             0.08419
                   7,            0.042049,            0.021898,            0.023724,             0.46507,             0.42599,             0.26714,            0.090817,            0.045799,            0.014762,            0.033942,             0.00176,             0.00176,             0.08186
                   8,              0.0399,            0.023602,            0.025021,             0.47389,             0.39864,             0.28151,             0.10313,            0.048222,            0.014608,            0.033565,           0.0019065,           0.0019065,            0.079506
                   9,            0.042998,            0.019873,             0.02475,             0.40112,             0.42846,             0.22767,             0.07916,            0.050567,            0.013939,             0.03299,           0.0020281,           0.0020281,            0.077128
                  10,            0.044839,            0.018087,            0.023144,             0.70085,             0.30952,              0.2789,            0.092415,             0.04664,            0.014289,            0.032555,           0.0021235,           0.0021235,            0.074724
                  11,            0.040711,            0.019801,            0.021713,             0.43597,             0.42758,             0.25106,            0.092045,            0.048434,            0.013924,            0.032502,           0.0021918,           0.0021918,            0.072292
                  12,            0.044444,            0.020576,            0.023834,             0.62288,             0.27381,             0.20203,            0.058747,            0.050897,            0.013532,            0.032207,           0.0022325,           0.0022325,            0.069833
                  13,            0.042244,            0.018507,            0.020531,             0.17232,             0.54894,             0.25552,            0.090745,            0.048311,            0.013756,            0.031781,            0.002246,            0.002246,            0.067346
                  14,            0.044374,            0.020901,            0.022176,             0.52261,             0.49008,             0.30727,              0.0945,            0.050674,            0.013246,            0.031645,           0.0022329,           0.0022329,            0.064833
                  15,            0.044749,            0.018385,            0.022405,             0.45439,             0.43105,             0.26275,            0.092911,            0.053405,            0.012888,            0.031684,           0.0021945,           0.0021945,            0.062295
                  16,            0.044139,            0.017991,            0.020183,             0.80536,             0.21775,             0.30173,              0.1004,            0.050103,            0.013264,            0.031398,           0.0021326,           0.0021326,            0.059733
                  17,            0.047605,            0.018724,            0.021367,             0.22643,             0.56554,             0.34582,             0.13084,            0.046271,            0.013149,            0.031191,           0.0020494,           0.0020494,            0.057149
                  18,            0.044144,            0.018251,            0.021651,             0.24988,             0.66814,             0.35738,             0.10197,             0.04729,            0.013171,            0.031416,           0.0019479,           0.0019479,            0.054548
                  19,            0.043132,            0.018955,            0.022441,             0.20543,              0.5697,             0.27072,              0.1004,            0.049666,            0.012594,            0.031401,           0.0018312,           0.0018312,            0.051931
                  20,            0.042494,            0.017654,             0.02035,             0.28454,             0.59588,             0.45445,             0.15607,            0.045576,            0.012895,            0.031335,            0.001703,            0.001703,            0.049303
                  21,            0.043698,            0.016908,            0.020234,             0.21325,             0.71449,             0.31692,             0.11653,            0.047214,            0.012841,            0.030999,           0.0015674,           0.0015674,            0.046667
                  22,             0.04291,            0.018592,            0.021655,             0.28093,              0.7456,             0.42835,             0.14332,            0.044027,            0.013022,            0.030811,           0.0014286,           0.0014286,            0.044029
                  23,             0.03938,            0.018287,            0.021182,             0.25754,             0.75217,              0.3846,             0.14778,            0.045415,            0.012853,            0.030696,           0.0012914,           0.0012914,            0.041391
                  24,            0.039455,            0.018891,              0.0224,             0.27756,             0.75347,             0.44697,             0.14152,            0.044355,            0.012831,            0.030555,           0.0011603,           0.0011603,             0.03876
                  25,            0.035642,            0.018567,            0.019689,             0.56696,             0.59095,             0.45122,             0.16369,            0.043121,            0.012834,            0.030497,           0.0010403,           0.0010403,             0.03614
                  26,            0.037244,            0.016793,            0.020413,             0.62169,             0.56446,             0.50169,             0.16071,            0.042337,            0.012842,            0.030471,          0.00093622,          0.00093622,            0.033536
                  27,            0.036314,            0.017567,            0.018901,             0.59498,             0.56349,             0.46836,             0.13981,            0.042268,            0.012716,            0.030526,          0.00085295,          0.00085295,            0.030953
                  28,            0.034375,            0.019452,            0.020662,             0.63498,             0.59623,             0.48783,             0.13994,            0.042718,            0.012602,            0.030394,           0.0007952,           0.0007952,            0.028395
                  29,            0.036141,            0.017591,            0.019475,              0.5546,             0.62311,             0.43587,             0.15595,            0.043018,            0.012529,            0.030488,          0.00076746,          0.00076746,            0.025867
